dasNov3	Dasypus novemcinctus (Armadillo Dec. 2011 Baylor/dasNov3)	eukaryota	Mammalia	
dipOrd1	Dipodomys ordii (Kangaroo rat Jul. 2008 Broad/dipOrd1)	eukaryota	Mammalia	
equCab2	Equus caballus (horse) (Sep 2007)	eukaryota	Mammalia	
eriEur2	Erinaceus europaeus (Hedgehog May 2012 EriEur2.0/eriEur2)	eukaryota	Mammalia	
felCat5	Felis catus (cat) (Felis_catus-6.2 Sept 2011)	eukaryota	Mammalia	
gorGor3	Gorilla gorilla gorilla (gorilla) (gorGor3.1 May 2011)	eukaryota	Mammalia	
hetGla2	Heterocephalus glaber (Naked mole-rat Jan. 2012 Broad HetGla_female_1.0/hetGla2)	eukaryota	Mammalia	
hg19	Homo sapiens (hg19 - NCBI Build 37.1 Feb 2009)	eukaryota	Mammalia	
loxAfr3	Loxodonta africana (elephant) (Broad/July 2009)	eukaryota	Mammalia	
rheMac8	Macaca mulatta (Rhesus Nov. 2015 BCM Mmul8.0.1/rheMac8)	eukaryota	Mammalia	
macEug2	Macropus eugenii (Wallaby Sep. 2009 TWGS Meug_1.1/macEug2)	eukaryota	Mammalia	
micMur1	Microcebus murinus (Mouse lemur) (Jun 2003)	eukaryota	Mammalia	
monDom5	Monodelphis domestica (opossum) (Broad Oct 2006)	eukaryota	Mammalia	
mm10	Mus musculus (mm10 Dec 2011)	eukaryota	Mammalia	
musFur1	Mustela putorius furo (Ferret  Apr. 2011 MusPutFur1.0/musFur1)	eukaryota	Mammalia	
myoLuc2	Myotis lucifugus (Microbat Jul. 2010 Broad Institute Myoluc2.0/myoLuc2)	eukaryota	Mammalia	
nomLeu3	Nomascus leucogenys (Gibbon Oct. 2012 GGSC Nleu3.0/nomLeu3)	eukaryota	Mammalia	
ochPri3	Ochotona princeps (Pika May 2012 OchPri3.0/ochPri3)	eukaryota	Mammalia	
ornAna1	Ornithorhynchus anatinus (platypus) (WUGSC 5.0.1 Mar 2007)	eukaryota	Mammalia	
oryCun2	Oryctolagus cuniculus (rabbit) (Broad Apr 2009)	eukaryota	Mammalia	
otoGar3	Otolemur garnettii (Bushbaby Mar. 2011 Broad/otoGar3)	eukaryota	Mammalia	
oviAri3	Ovis aries (sheep) (Feb 2010)	eukaryota	Mammalia	
panTro4	Pan troglodytes (Chimp Feb. 2011 CSAC 2.1.4/panTro4)	eukaryota	Mammalia	
papAnu2	Papio anubis (Baboon Mar. 2012 Baylor Panu_2.0/papAnu2)	eukaryota	Mammalia	
papHam1	Papio hamadryas (baboon) (Nov 2008)	eukaryota	Mammalia	
ponAbe2	Pongo pygmaeus abelii (Orangutan July 2007 WUGSC 2.0.2/ponAbe2)	eukaryota	Mammalia	
proCap1	Procavia capensis (Rock hyrax Jul. 2008 Broad/proCap1)	eukaryota	Mammalia	
pteVam1	Pteropus vampyrus (Megabat Jul. 2008 Broad/pteVam1)	eukaryota	Mammalia	
rn6	Rattus norvegicus (Rat Jul. 2014 RGSC 6.0/rn6)	eukaryota	Mammalia	
saiBol1	Saimiri boliviensis (Squirrel monkey Oct. 2011 Broad/saiBol1)	eukaryota	Mammalia	
sarHar1	Sarcophilus harrisii (Tasmanian devil Feb. 2011 WTSI Devil_ref v7.0/sarHar1)	eukaryota	Mammalia	
sorAra2	Sorex araneus (Shrew Aug. 2008 Broad/sorAra2)	eukaryota	Mammalia	
speTri2	Spermophilus tridecemlineatus (Squirrel Nov. 2011 Broad/speTri2)	eukaryota	Mammalia	
susScr3	Sus scrofa (Pig Aug. 2011 SGSC Sscrofa10.2/susScr3)	eukaryota	Mammalia	
tarSyr2	Tarsius syrichta (Tarsier Sep. 2013 Tarsius_syrichta-2.0.1/tarSyr2)	eukaryota	Mammalia	
triMan1	Trichechus manatus latirostris (Manatee Oct. 2011 Broad v1.0/triMan1)	eukaryota	Mammalia	
turTru2	Tursiops truncatus (Dolphin Oct. 2011 Baylor Ttru_1.4/turTru2)	eukaryota	Mammalia	
